Found 84 caches to migrate
[1/84] 090/1000K: loading trajectory... 1418 frames, computing O-H RDF... done
[2/84] 090/2000K: loading trajectory... 1019 frames, computing O-H RDF... done
[3/84] 090/800K: loading trajectory... 1119 frames, computing O-H RDF... done
[4/84] 100/300K: loading trajectory... 1592 frames, computing O-H RDF... done
[5/84] 100/400K: loading trajectory... 1001 frames, computing O-H RDF... done
[6/84] 100/500K: loading trajectory... 1001 frames, computing O-H RDF... done
[7/84] 100/600K: loading trajectory... 1120 frames, computing O-H RDF... done
[8/84] 100/700K: loading trajectory... 1001 frames, computing O-H RDF... done
[9/84] 100/800K: loading trajectory... 1001 frames, computing O-H RDF... done
[10/84] 110/400K: loading trajectory... 54 frames, computing O-H RDF... done
[11/84] 110/600K: loading trajectory... 1001 frames, computing O-H RDF... done
[12/84] 110/700K: loading trajectory... 1001 frames, computing O-H RDF... done
[13/84] 110/800K: loading trajectory... 1792 frames, computing O-H RDF... done
[14/84] 112/400K: loading trajectory... 201 frames, computing O-H RDF... done
[15/84] 115/1000K: loading trajectory... 1001 frames, computing O-H RDF... done
[16/84] 115/400K: loading trajectory... 2001 frames, computing O-H RDF... done
[17/84] 115/500K: loading trajectory... 1001 frames, computing O-H RDF... done
[18/84] 115/600K: loading trajectory... 1001 frames, computing O-H RDF... done
[19/84] 115/601K: loading trajectory... 1000 frames, computing O-H RDF... done
[20/84] 115/700K: loading trajectory... 1001 frames, computing O-H RDF... done
[21/84] 115/800K: loading trajectory... 1001 frames, computing O-H RDF... done
[22/84] 115/900K: loading trajectory... 1001 frames, computing O-H RDF... done
[23/84] 120/1000K: loading trajectory... 1001 frames, computing O-H RDF... done
[24/84] 120/400K: loading trajectory... 5569 frames, computing O-H RDF... done
[25/84] 120/500K: loading trajectory... 999 frames, computing O-H RDF... done
[26/84] 120/500K_equil: loading trajectory... 1001 frames, computing O-H RDF... done
[27/84] 120/600K: loading trajectory... 2001 frames, computing O-H RDF... done
[28/84] 120/600K_equil: loading trajectory... 1001 frames, computing O-H RDF... done
[29/84] 120/700K: loading trajectory... 1001 frames, computing O-H RDF... done
[30/84] 120/800K: loading trajectory... 2001 frames, computing O-H RDF... done
[31/84] 120/800K_equil: loading trajectory... 1001 frames, computing O-H RDF... done
[32/84] 120/900K: loading trajectory... 1001 frames, computing O-H RDF... done
[33/84] 125/1000K: loading trajectory... 1001 frames, computing O-H RDF... done
